Exercise Name,Split Category - Push / Pull / Legs,Split Category - Upper / Lower,Split Category - Bro Split,Plane of Motion,Planar movement,Movement Category,Equipment Type / Area,Body Position,Bilateral / Unilateral,Simultaneous / Alternating,Grip / Attachment Type,Weight Type,Primary Muscle Group,Additional Primary Muscle Group
Chest-supported Narrow-grip Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Mid-Back,
Chest-supported Narrow-grip Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Machine - Plate-loaded,Seated,Bilateral,Simultaneous,Neutral,Plate,Mid-Back,
Seated Narrow-grip Cable Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Mid-Back,
Seated Wide-grip Cable Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Pronated,Stack,Mid-Back,
Single-arm Cable Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Machine - Pin-loaded,Seated,Unilateral,Alternating,Neutral,Stack,Mid-Back,
Chest-supported T-Bar Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Machine - Plate-loaded,Standing,Bilateral,Simultaneous,Neutral,Plate,Mid-Back,Lats
Meadows Row,Pull,Upper,Back,Sagittal,Extension,Horizontal Row,Rack,Standing,Unilateral,Alternating,Pronated,Barbell,Mid-Back,
Leg Curl,Legs,Lower,Legs,Sagittal,Flexion,Knee Curl,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,No Grip,Stack,Hamstrings,
Lying Leg Curl,Legs,Lower,Legs,Sagittal,Flexion,Knee Curl,Machine - Pin-loaded,Prone,Bilateral,Simultaneous,No Grip,Stack,Hamstrings,
Leg Extension,Legs,Lower,Legs,Sagittal,Extension,Knee Extension,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,No Grip,Stack,Quads,
Plate-loaded Leg Press,Legs,Lower,Legs,Sagittal,Extension,Leg Press,Machine - Plate-loaded,Seated,Bilateral,Simultaneous,No Grip,Plate,Quads,Glutes/Hips
Pin-loaded Leg Press,Legs,Lower,Legs,Sagittal,Extension,Leg Press,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,No Grip,Stack,Quads,Glutes/Hips
Single-leg Leg Press,Legs,Lower,Legs,Sagittal,Extension,Leg Press,Machine - Pin-loaded,Seated,Unilateral,Alternating,No Grip,Stack,Quads,Glutes/Hips
DB Walking Lunge,Legs,Lower,Legs,Sagittal,Flexion,Lunge,Free Area,Standing,Unilateral,Alternating,Neutral,Dumbbell,Quads,Glutes/Hips
BB Walking Lunge,Legs,Lower,Legs,Sagittal,Flexion,Lunge,Free Area,Standing,Unilateral,Alternating,Neutral,Barbell,Quads,Glutes/Hips
DB Reverse Lunge,Legs,Lower,Legs,Sagittal,Flexion,Lunge,Free Area,Standing,Unilateral,Alternating,Neutral,Dumbbell,Quads,Glutes/Hips
BB Reverse Lunge,Legs,Lower,Legs,Sagittal,Flexion,Lunge,Rack,Standing,Unilateral,Alternating,Neutral,Barbell,Quads,Glutes/Hips
Step-up,Legs,Lower,Legs,Sagittal,Flexion,Lunge,Bench,Standing,Unilateral,Alternating,Neutral,Dumbbell,Quads,Glutes/Hips
Cable Rear Delt Fly / Reverse Fly,Pull,Upper,Shoulders,Transverse,Abduction,Reverse Fly,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Neutral,Stack,Shoulders,Mid-Back
Machine Rear Delt Fly / Reverse Pec Deck,Pull,Upper,Shoulders,Transverse,Abduction,Reverse Fly,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Shoulders,Mid-Back
DB Rear Delt Fly / Reverse Fly,Pull,Upper,Shoulders,Transverse,Abduction,Reverse Fly,Bench,Incline,Bilateral,Simultaneous,Neutral,Dumbbell,Shoulders,Mid-Back
DB Lateral Raise / Shoulder Fly,Push,Upper,Shoulders,Frontal,Abduction,Shoulder Abduction,Free Area,Standing,Bilateral,Simultaneous,Neutral,Dumbbell,Shoulders,
Cable Lateral Raise / Shoulder Fly,Push,Upper,Shoulders,Frontal,Abduction,Shoulder Abduction,Machine - Pin-loaded,Standing,Unilateral,Alternating,Neutral,Stack,Shoulders,
Machine Lateral Raise / Shoulder Fly,Push,Upper,Shoulders,Frontal,Abduction,Shoulder Abduction,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Shoulders,
DB Pullover,Pull,Upper,Back,Sagittal,Extension,Shoulder Extension,Bench,Flat,Bilateral,Simultaneous,Neutral,Dumbbell,Lats,
Straight-arm Lat Pull-down,Pull,Upper,Back,Sagittal,Extension,Shoulder Extension,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Pronated,Stack,Lats,
Seated BB Shoulder Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Rack,Seated,Bilateral,Simultaneous,Pronated,Barbell,Shoulders,
Seated DB Shoulder Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Bench,Seated,Bilateral,Simultaneous,Neutral,Dumbbell,Shoulders,
Standing BB Shoulder Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Rack,Standing,Bilateral,Simultaneous,Pronated,Barbell,Shoulders,
Standing DB Shoulder Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Free Area,Standing,Bilateral,Simultaneous,Neutral,Dumbbell,Shoulders,
Seated Machine Shoulder Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Shoulders,
Seated Plate-loaded Shoulder Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Machine - Plate-loaded,Seated,Bilateral,Simultaneous,Neutral,Plate,Shoulders,
Arnold Press,Push,Upper,Shoulders,Sagittal,Flexion,Shoulder Press,Bench,Seated,Bilateral,Simultaneous,Mix,Dumbbell,Shoulders,
Ab Crunch,Legs,Lower,Legs,Sagittal,Flexion,Spinal Flexion,Free Area,Flat,Bilateral,Simultaneous,No Grip,Bodyweight,Abs,
Cable Crunch,Legs,Lower,Legs,Sagittal,Flexion,Spinal Flexion,Machine - Pin-loaded,Kneeling,Bilateral,Simultaneous,Neutral,Stack,Abs,
Machine Crunch,Legs,Lower,Legs,Sagittal,Flexion,Spinal Flexion,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Abs,
Bulgarian Split Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Bench,Standing,Unilateral,Alternating,Neutral,Dumbbell,Quads,Glutes/Hips
DB Split Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Free Area,Standing,Unilateral,Alternating,Neutral,Dumbbell,Quads,Glutes/Hips
BB Back Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Rack,Standing,Bilateral,Simultaneous,Pronated,Barbell,Quads,Glutes/Hips
BB Front Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Rack,Standing,Bilateral,Simultaneous,Pronated,Barbell,Quads,Glutes/Hips
Hack Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Machine - Plate-loaded,Standing,Bilateral,Simultaneous,No Grip,Plate,Quads,Glutes/Hips
Goblet Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Free Area,Standing,Bilateral,Simultaneous,Neutral,Kettlebell,Quads,Glutes/Hips
Tricep Pushdown / Extension,Push,Upper,Arms,Sagittal,Extension,Tricep Extension,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Pronated,Stack,Triceps,
Overhead Cable Tricep Extension,Push,Upper,Arms,Sagittal,Extension,Tricep Extension,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Neutral,Stack,Triceps,
Skullcrusher / Lying Tricep Extension,Push,Upper,Arms,Sagittal,Extension,Tricep Extension,Bench,Flat,Bilateral,Simultaneous,Pronated,Barbell,Triceps,
Wide-grip Lat Pull-down,Pull,Upper,Back,Frontal,Adduction,Vertical Pull,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Pronated,Stack,Lats,Mid-Back
Neutral-grip Lat Pull-down,Pull,Upper,Back,Sagittal,Extension,Vertical Pull,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Neutral,Stack,Lats,Mid-Back
Single-arm Lat Pull-down / Cable Pull-down,Pull,Upper,Back,Frontal,Adduction,Vertical Pull,Machine - Pin-loaded,Seated,Unilateral,Alternating,Neutral,Stack,Lats,Mid-Back
Wide-grip Pull-up,Pull,Upper,Back,Frontal,Adduction,Vertical Pull,Rack,Hanging,Bilateral,Simultaneous,Pronated,Bodyweight,Lats,Mid-Back
